Number,image,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
0,https://www.wga.hu/detail/a/aachen/allegory.jpg,"AACHEN, Hans von","(b. 1552, K?ln, d. 1615, Praha)",Allegory,1598,"Oil on copper, 56 x 47 cm","Alte Pinakothek, Munich",painting,mythological,German,1601-1650,The painting displays the characteristic Mannerist style of the artist.
7,https://www.wga.hu/detail/a/aachen/k_couple.jpg,"AACHEN, Hans von","(b. 1552, K?ln, d. 1615, Praha)",A Couple in a Tavern,1595-1605,"Oil on canvas, 63 x 51 cm","Kunsthistorisches Museum, Vienna",painting,genre,German,1601-1650,This is a Netherlandish genre painting.
22,https://www.wga.hu/detail/a/abadie/sacreco3.jpg,"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Interior view,1875-1919,Photo,"Sacr?-Coeur, Paris",architecture,religious,French,1851-1900,The photo shows the cupola from inside.
35,https://www.wga.hu/detail/a/abbate/portrai2.jpg,"ABBATE, Niccol? dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Man with Parrot,1540s,"Oil on canvas, 125 x 109 cm","Kunsthistorisches Museum, Vienna",painting,portrait,Italian,1501-1550,The portrait depicts a young man with parrot and pomegranate.
63,https://www.wga.hu/detail/a/adam/lambert/selfport.jpg,"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Self-portrait,c. 1740,Drawing,"Ashmolean Museum, Oxford",graphics,portrait,French,1701-1750,"It is the Seine and Marne group for Saint-Cloud, and his Neptune presented to the Academie, which flank Adam in the unusual self-portrait drawing."
110,https://www.wga.hu/detail/a/aelst/hunting2.jpg,"AELST, Willem van","(b. 1627, Delft, d. ca. 1683, Amsterdam)",Hunting still life (detail),c. 1665,Oil on canvas,Private collection,painting,still life,Dutch,1651-1700,Above the marble ledge the exquisite catch of a fat partridge and three small game birds is suspended.
113,https://www.wga.hu/detail/a/aelst/stilflow.jpg,"AELST, Willem van","(b. 1627, Delft, d. ca. 1683, Amsterdam)",still life,1675,"Oil on canvas, 40 x 32 cm",Private collection,painting,still life,Dutch,1651-1700,"This painting depicts a still life of roses, a carnation and a sunflower in a glass vase, on a marble ledge."
114,https://www.wga.hu/detail/a/aelst/stilfrui.jpg,"AELST, Willem van","(b. 1627, Delft, d. ca. 1683, Amsterdam)",still life with Fruit,1653,"Oil on canvas, 77 x 102 cm","Galleria Palatina (Palazzo Pitti), Florence",painting,still life,Dutch,1651-1700,"This painting shows peaches, grapes, and figs."
117,https://www.wga.hu/detail/a/aelst/stillfru.jpg,"AELST, Willem van","(b. 1627, Delft, d. ca. 1683, Amsterdam)",still life with Fruit,1664,"Oil on canvas, 67 x 52 cm","Museo Thyssen-Bornemisza, Madrid",painting,still life,Dutch,1651-1700,This painting is a typical example of the speciality of Willem van Aelst: still lifes of fruits and objects.
127,https://www.wga.hu/detail/a/aenvanck/fruit.jpg,"AENVANCK, Theodoor","(b. 1633, Antwerpen, d. 1690, Antwerpen)",Fruit,1653,"Oil on panel, 63 x 80 cm","Koninklijk Museum voor Schone Kunsten, Antwerp",painting,still life,Flemish,1651-1700,Theodoor Aenvanck's Fruit also represents the process of decay and destruction.
